Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Conversion,GBP_Selling_Price,GBP_Present_Price
ritz,2014,3.3500000000000001,5.5899999999999999,27000,Petrol,Dealer,Manual,0,1.0144755516464432E-2,3398.493098015585,6537.0254078624394
sx4,2013,4.75,9.5399999999999991,43000,Diesel,Dealer,Manual,0,1.0172339780562286E-2,4831.8613957670859,11156.211518963804
ciaz,2017,7.25,9.8499999999999996,6900,Petrol,Dealer,Manual,0,0.01169414205342118,8478.2529887303554,11518.729922619863
wagon r,2011,2.8500000000000001,4.1500000000000004,5200,Petrol,Dealer,Manual,0,1.3090513043387196E-2,3730.7962173653509,4853.0689521697905
swift,2014,4.5999999999999996,6.8700000000000001,42450,Diesel,Dealer,Manual,0,1.0144755516464432E-2,4666.5875375736377,8033.8755907003506
vitara brezza,2018,9.25,9.8300000000000001,2071,Diesel,Dealer,Manual,0,1.0894848370947797E-2,10077.734743126712,11495.34163851302
ciaz,2015,6.75,8.1199999999999992,18796,Petrol,Dealer,Manual,0,1.0129044020825314E-2,6837.1047140570863,9495.6433473779962
s cross,2015,6.5,8.6099999999999994,33429,Diesel,Dealer,Manual,0,1.0129044020825314E-2,6583.8786135364535,10068.656307995636
ciaz,2016,8.75,8.8900000000000006,20273,Diesel,Dealer,Manual,0,1.1403847886353813E-2,9978.3669005595857,10396.09228549143
ciaz,2015,7.4500000000000002,8.9199999999999999,42367,Diesel,Dealer,Manual,0,1.0129044020825314E-2,7546.1377955148591,10431.174711651693
alto 800,2017,2.8500000000000001,3.6000000000000001,2135,Petrol,Dealer,Manual,0,0.01169414205342118,3332.8304852250362,4209.8911392316249
ciaz,2015,6.8499999999999996,10.380000000000001,51000,Diesel,Dealer,Manual,0,1.0129044020825314E-2,6938.3951542653394,12138.519451451186
ciaz,2015,7.5,9.9399999999999995,15000,Petrol,Dealer,Automatic,0,1.0129044020825314E-2,7596.7830156189857,11623.977201100653
ertiga,2015,6.0999999999999996,7.71,26000,Petrol,Dealer,Manual,0,1.0129044020825314E-2,6178.716852703441,9016.1835231877303
dzire,2009,2.25,7.21,77427,Petrol,Dealer,Manual,0,0.01317764386363247,2964.9698693173059,8431.4764205166703
ertiga,2016,7.75,10.789999999999999,43000,Diesel,Dealer,Manual,0,1.1403847886353813E-2,8837.982111924206,12617.979275641454
ertiga,2015,7.25,10.789999999999999,41678,Diesel,Dealer,Manual,0,1.0129044020825314E-2,7343.556915098352,12617.979275641454
ertiga,2016,7.75,10.789999999999999,43000,Diesel,Dealer,Manual,0,1.1403847886353813E-2,8837.982111924206,12617.979275641454
wagon r,2015,3.25,5.0899999999999999,35500,CNG,Dealer,Manual,0,1.0129044020825314E-2,3291.9393067682267,5952.3183051913802
sx4,2010,2.6499999999999999,7.9800000000000004,41442,Petrol,Dealer,Manual,0,1.4107297281664887E-2,3738.4337796411946,9331.925358630102
alto k10,2016,2.8500000000000001,3.9500000000000002,25000,Petrol,Dealer,Manual,0,1.1403847886353813E-2,3250.0966476108365,4619.1861111013659
ignis,2017,4.9000000000000004,5.71,2400,Petrol,Dealer,Manual,0,0.01169414205342118,5730.1296061763787,6677.3551125034937
sx4,2011,4.4000000000000004,8.0099999999999998,50000,Petrol,Dealer,Automatic,0,1.3090513043387196E-2,5759.8257390903673,9367.0077847903649
alto k10,2014,2.5,3.46,45280,Petrol,Dealer,Manual,0,1.0144755516464432E-2,2536.1888791161082,4046.1731504837285
wagon r,2013,2.8999999999999999,4.4100000000000001,56879,Petrol,Dealer,Manual,0,1.0172339780562286E-2,2949.9785363630626,5157.1166455587409
swift,2011,3,4.9900000000000002,20000,Petrol,Dealer,Manual,0,1.3090513043387196E-2,3927.1539130161591,5835.3768846571693
swift,2013,4.1500000000000004,5.8700000000000001,55138,Petrol,Dealer,Manual,0,1.0172339780562286E-2,4221.5210089333486,6864.4613853582323
swift,2017,6,6.4900000000000002,16200,Petrol,Individual,Manual,0,0.01169414205342118,7016.4852320527079,7589.4981926703458
alto k10,2010,1.95,3.9500000000000002,44542,Petrol,Dealer,Manual,0,1.4107297281664887E-2,2750.922969924653,4619.1861111013659
ciaz,2015,7.4500000000000002,10.380000000000001,45000,Diesel,Dealer,Manual,0,1.0129044020825314E-2,7546.1377955148591,12138.519451451186
ritz,2012,3.1000000000000001,5.9800000000000004,51439,Diesel,Dealer,Manual,0,1.1631788748105472E-2,3605.8545119126961,6993.0969479458654
ritz,2011,2.3500000000000001,4.8899999999999997,54200,Petrol,Dealer,Manual,0,1.3090513043387196E-2,3076.2705651959914,5718.4354641229565
swift,2014,4.9500000000000002,7.4900000000000002,39000,Diesel,Dealer,Manual,0,1.0144755516464432E-2,5021.653980649894,8758.9123980124641
ertiga,2014,6,9.9499999999999993,45000,Diesel,Dealer,Manual,0,1.0144755516464432E-2,6086.8533098786593,11635.671343154072
dzire,2014,5.5,8.0600000000000005,45000,Diesel,Dealer,Manual,0,1.0144755516464432E-2,5579.6155340554378,9425.4784950574704
sx4,2011,2.9500000000000002,7.7400000000000002,49998,CNG,Dealer,Manual,0,1.3090513043387196E-2,3861.7013477992236,9051.2659493479932
dzire,2015,4.6500000000000004,7.2000000000000002,48767,Petrol,Dealer,Manual,0,1.0129044020825314E-2,4710.0054696837715,8419.7822784632499
800,2003,0.34999999999999998,2.2799999999999998,127000,Petrol,Individual,Manual,0,1.2863572805892546E-2,450.22504820623908,2666.2643881800286
alto k10,2016,3,3.7599999999999998,10079,Petrol,Dealer,Manual,0,1.1403847886353813E-2,3421.154365906144,4396.9974120863635
sx4,2003,2.25,7.9800000000000004,62000,Petrol,Dealer,Manual,0,1.2863572805892546E-2,2894.3038813258231,9331.925358630102
baleno,2016,5.8499999999999996,7.8700000000000001,24524,Petrol,Dealer,Automatic,0,1.1403847886353813E-2,6671.2510135169805,9203.2897960424689
