car_name,year,selling_price,present_price,kms_driven,fuel_type,seller_type,transmission,owner,conversion,gbp_selling_price,gbp_present_price
ritz,2014,3.35,5.59,27000,Petrol,Dealer,Manual,0,0.010144755516464432,3398.493098015585,6537.02540786244
sx4,2013,4.75,9.54,43000,Diesel,Dealer,Manual,0,0.010172339780562286,4831.861395767086,11156.211518963804
ciaz,2017,7.25,9.85,6900,Petrol,Dealer,Manual,0,0.0116941420534211,8478.252988730355,11518.729922619865
wagon r,2011,2.85,4.15,5200,Petrol,Dealer,Manual,0,0.013090513043387196,3730.7962173653514,4853.068952169791
swift,2014,4.6,6.87,42450,Diesel,Dealer,Manual,0,0.010144755516464432,4666.587537573638,8033.875590700351
vitara brezza,2018,9.25,9.83,2071,Diesel,Dealer,Manual,0,0.010894848370947795,10077.734743126712,11495.34163851302
ciaz,2015,6.75,8.12,18796,Petrol,Dealer,Manual,0,0.010129044020825314,6837.104714057086,9495.643347377996
s cross,2015,6.5,8.609999999999998,33429,Diesel,Dealer,Manual,0,0.010129044020825314,6583.8786135364535,10068.656307995636
ciaz,2016,8.75,8.89,20273,Diesel,Dealer,Manual,0,0.011403847886353811,9978.366900559584,10396.09228549143
ciaz,2015,7.45,8.92,42367,Diesel,Dealer,Manual,0,0.010129044020825314,7546.137795514859,10431.174711651693
alto 800,2017,2.85,3.6,2135,Petrol,Dealer,Manual,0,0.0116941420534211,3332.830485225036,4209.891139231625
ciaz,2015,6.85,10.38,51000,Diesel,Dealer,Manual,0,0.010129044020825314,6938.395154265339,12138.519451451186
ciaz,2015,7.5,9.94,15000,Petrol,Dealer,Automatic,0,0.010129044020825314,7596.783015618986,11623.977201100652
ertiga,2015,6.1,7.71,26000,Petrol,Dealer,Manual,0,0.010129044020825314,6178.716852703441,9016.18352318773
dzire,2009,2.25,7.21,77427,Petrol,Dealer,Manual,0,0.0131776438636324,2964.9698693173054,8431.47642051667
ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0,0.011403847886353811,8837.982111924206,12617.979275641454
ertiga,2015,7.25,10.79,41678,Diesel,Dealer,Manual,0,0.010129044020825314,7343.556915098352,12617.979275641454
ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0,0.011403847886353811,8837.982111924206,12617.979275641454
wagon r,2015,3.25,5.09,35500,CNG,Dealer,Manual,0,0.010129044020825314,3291.9393067682267,5952.31830519138
sx4,2010,2.65,7.98,41442,Petrol,Dealer,Manual,0,0.014107297281664887,3738.433779641194,9331.925358630102
alto k10,2016,2.85,3.95,25000,Petrol,Dealer,Manual,0,0.011403847886353811,3250.0966476108365,4619.186111101366
ignis,2017,4.9,5.71,2400,Petrol,Dealer,Manual,0,0.0116941420534211,5730.129606176379,6677.355112503494
sx4,2011,4.4,8.01,50000,Petrol,Dealer,Automatic,0,0.013090513043387196,5759.825739090367,9367.007784790367
alto k10,2014,2.5,3.46,45280,Petrol,Dealer,Manual,0,0.010144755516464432,2536.188879116108,4046.173150483729
wagon r,2013,2.9,4.41,56879,Petrol,Dealer,Manual,0,0.010172339780562286,2949.978536363062,5157.116645558741
swift,2011,3.0,4.99,20000,Petrol,Dealer,Manual,0,0.013090513043387196,3927.153913016159,5835.376884657168
swift,2013,4.15,5.87,55138,Petrol,Dealer,Manual,0,0.010172339780562286,4221.521008933349,6864.461385358232
swift,2017,6.0,6.49,16200,Petrol,Individual,Manual,0,0.0116941420534211,7016.485232052708,7589.498192670346
alto k10,2010,1.95,3.95,44542,Petrol,Dealer,Manual,0,0.014107297281664887,2750.922969924653,4619.186111101366
ciaz,2015,7.45,10.38,45000,Diesel,Dealer,Manual,0,0.010129044020825314,7546.137795514859,12138.519451451186
ritz,2012,3.1,5.98,51439,Diesel,Dealer,Manual,0,0.011631788748105472,3605.854511912696,6993.096947945865
ritz,2011,2.35,4.89,54200,Petrol,Dealer,Manual,0,0.013090513043387196,3076.270565195992,5718.435464122957
